scenario,step_percent,estimator,family,run_tier,n_mc_runs,tune_trials,tune_eval_runs,n_cost_reps,base_seed,tuning_base_seed,pipeline_method_version,tuning_elapsed_s,mc_eval_elapsed_s,total_elapsed_s
Sweep_AmplitudeStep_200pct,200.0,PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,1.8499966245144606e-05,27.668726500007324,27.668763800000306
Sweep_AmplitudeStep_200pct,200.0,RA-EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,5.9699988923966885e-05,33.37388079997618,33.373963099962566
Sweep_AmplitudeStep_200pct,200.0,RLS,Adaptive,fast,30,300,8,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,1.4500001270789653e-05,33.020004099998914,33.020036599999
Sweep_AmplitudeStep_200pct,200.0,SOGI-FLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00103270000545308,28.386174399987794,28.38726270000916
Sweep_AmplitudeStep_200pct,200.0,SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.250001464039087e-05,43.812998300010804,43.813062600034755
Sweep_AmplitudeStep_200pct,200.0,TFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.4600012693554163e-05,38.8106144000194,38.810659800015856
Sweep_AmplitudeStep_200pct,200.0,TKEO,Adaptive,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.460003063082695e-05,25.333655600028578,25.333710799983237
Sweep_AmplitudeStep_200pct,200.0,Type-3 SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00012669997522607446,22.310942000010982,22.3111047000275
Sweep_AmplitudeStep_200pct,200.0,UKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00017899996601045132,25.92295679997187,25.923157599987462
Sweep_AmplitudeStep_200pct,200.0,ZCD,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,7.159996312111616e-05,14.318943299993407,14.319039599969983
Sweep_AmplitudeStep_20pct,20.0,EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.070000093430281e-05,33.60799930000212,33.60805999999866
Sweep_AmplitudeStep_20pct,20.0,IPDFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00013229995965957642,31.066952499968465,31.06711439997889
Sweep_AmplitudeStep_20pct,20.0,LKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.319996176287532e-05,34.31436840002425,34.314421899965964
Sweep_AmplitudeStep_20pct,20.0,LKF2,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.650004509836435e-05,35.21147160005057,35.21153440000489
Sweep_AmplitudeStep_20pct,20.0,PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,4.090002039447427e-05,21.137192900001537,21.137255700014066
Sweep_AmplitudeStep_20pct,20.0,RA-EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.9799994081258774e-05,41.48005319997901,41.48011080001015
Sweep_AmplitudeStep_20pct,20.0,RLS,Adaptive,fast,30,300,8,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,1.2399999832268804e-05,32.67637140000443,32.67639920000511
Sweep_AmplitudeStep_20pct,20.0,SOGI-FLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.929995000362396e-05,20.934030400007032,20.934095499978866
Sweep_AmplitudeStep_20pct,20.0,SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00011610001092776656,21.573356200009584,21.573496800032444
Sweep_AmplitudeStep_20pct,20.0,TFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,7.729994831606746e-05,40.4817184000276,40.48182899999665
Sweep_AmplitudeStep_20pct,20.0,TKEO,Adaptive,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,4.67000063508749e-05,27.95436850003898,27.95445279998239
Sweep_AmplitudeStep_20pct,20.0,Type-3 SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,4.0300015825778246e-05,23.389211700006854,23.389275500026997
Sweep_AmplitudeStep_20pct,20.0,UKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.3800006601959467e-05,37.781229999964125,37.781274700013455
Sweep_AmplitudeStep_20pct,20.0,ZCD,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00022899999748915434,15.45566780003719,15.4559772000066
Sweep_AmplitudeStep_250pct,250.0,EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.2800016924738884e-05,25.931352799991146,25.931419800035655
